Channel,Energy (keV),CTS,CR,Net CR,Error
7425,2052.9882,36,0.2,0.199722222,0.033333912
7426,2053.2647,40,0.222222222,0.222222222,0.035136418
7427,2053.5412,39,0.216666667,0.216666667,0.034694433
7428,2053.8177,38,0.211111111,0.211111111,0.034246744
7429,2054.0942,42,0.233333333,0.233194444,0.036004383
7430,2054.3707,31,0.172222222,0.172222222,0.030932024
7431,2054.6472,44,0.244444444,0.244305556,0.036851648
7432,2054.9237,32,0.177777778,0.1775,0.031427582
7433,2055.2002,34,0.188888889,0.188888889,0.032394177
7434,2055.4767,34,0.188888889,0.188888889,0.032394177
7435,2055.7532,40,0.222222222,0.222083333,0.035136693
7436,2056.0297,26,0.144444444,0.144444444,0.028327886
7437,2056.3062,35,0.194444444,0.194305556,0.032867403
7438,2056.5827,31,0.172222222,0.172083333,0.030932336
7439,2056.8592,36,0.2,0.2,0.033333333
7440,2057.1357,39,0.216666667,0.216388889,0.034694989
7441,2057.4122,40,0.222222222,0.221944444,0.035136967
7442,2057.6887,28,0.155555556,0.155416667,0.029397565
7443,2057.9652,31,0.172222222,0.172083333,0.030932336
7444,2058.2417,35,0.194444444,0.194305556,0.032867403
7445,2058.5182,26,0.144444444,0.144444444,0.028327886
7446,2058.7947,29,0.161111111,0.161111111,0.029917582
7447,2059.0712,28,0.155555556,0.155416667,0.029397565
7448,2059.3477,34,0.188888889,0.188888889,0.032394177
7449,2059.6242,35,0.194444444,0.194444444,0.03286711
7450,2059.9007,38,0.211111111,0.210972222,0.034247026
7451,2060.1772,34,0.188888889,0.188888889,0.032394177
7452,2060.4537,31,0.172222222,0.172222222,0.030932024
7453,2060.7302,35,0.194444444,0.194305556,0.032867403
7454,2061.0067,42,0.233333333,0.233194444,0.036004383
7455,2061.2832,38,0.211111111,0.210694444,0.034247589
7456,2061.5597,26,0.144444444,0.144027778,0.028328908
7457,2061.8362,29,0.161111111,0.160833333,0.029918227
7458,2062.1127,26,0.144444444,0.144305556,0.028328227
7459,2062.3892,37,0.205555556,0.205416667,0.033793411
7460,2062.6657,43,0.238888889,0.238472222,0.036431008
7461,2062.9422,28,0.155555556,0.155416667,0.029397565
7462,2063.2187,43,0.238888889,0.238888889,0.036430214
7463,2063.4952,32,0.177777778,0.177638889,0.031427275
7464,2063.7717,32,0.177777778,0.177638889,0.031427275
7465,2064.0482,36,0.2,0.199861111,0.033333623
7466,2064.3247,36,0.2,0.199861111,0.033333623
7467,2064.6012,27,0.15,0.149861111,0.028867848
7468,2064.8777,48,0.266666667,0.266527778,0.038490269
7469,2065.1542,38,0.211111111,0.210972222,0.034247026
7470,2065.4307,29,0.161111111,0.161111111,0.029917582
7471,2065.7072,33,0.183333333,0.183194444,0.031914539
7472,2065.9837,36,0.2,0.2,0.033333333
7473,2066.2602,46,0.255555556,0.255555556,0.037679611
7474,2066.5367,39,0.216666667,0.216666667,0.034694433
7475,2066.8132,41,0.227777778,0.227777778,0.035572912
7476,2067.0897,39,0.216666667,0.216666667,0.034694433
7477,2067.3662,31,0.172222222,0.172222222,0.030932024
7478,2067.6427,40,0.222222222,0.222222222,0.035136418
7479,2067.9192,34,0.188888889,0.18875,0.032394475
7480,2068.1957,29,0.161111111,0.161111111,0.029917582
7481,2068.4722,41,0.227777778,0.227638889,0.035573184
7482,2068.7487,38,0.211111111,0.210972222,0.034247026
7483,2069.0252,41,0.227777778,0.227638889,0.035573184
7484,2069.3017,44,0.244444444,0.244305556,0.036851648
7485,2069.5782,34,0.188888889,0.188888889,0.032394177
7486,2069.8547,40,0.222222222,0.222222222,0.035136418
7487,2070.1312,35,0.194444444,0.194444444,0.03286711
7488,2070.4077,37,0.205555556,0.205416667,0.033793411
7489,2070.6842,40,0.222222222,0.221805556,0.035137242
7490,2070.9607,36,0.2,0.2,0.033333333
7491,2071.2372,34,0.188888889,0.188472222,0.03239507
7492,2071.5137,26,0.144444444,0.144444444,0.028327886
7493,2071.7902,36,0.2,0.199722222,0.033333912
7494,2072.0667,35,0.194444444,0.194166667,0.032867697
7495,2072.3432,38,0.211111111,0.210833333,0.034247308
7496,2072.6197,40,0.222222222,0.222222222,0.035136418
7497,2072.8962,32,0.177777778,0.177777778,0.031426968
7498,2073.1727,36,0.2,0.2,0.033333333
7499,2073.4492,38,0.211111111,0.210972222,0.034247026
7500,2073.7257,43,0.238888889,0.238888889,0.036430214
7501,2074.0022,37,0.205555556,0.205555556,0.033793125
7502,2074.2787,35,0.194444444,0.194305556,0.032867403
7503,2074.5552,34,0.188888889,0.18875,0.032394475
