Channel,Energy (keV),CTS,Net CR,
3379,934.2692,0,0,6.12E-06
3380,934.5457,3,0.005,0.002886757
3381,934.8222,1,0.001666667,0.001666673
3382,935.0987,0,0,5.43E-06
3383,935.3752,1,0.001666667,0.001666674
3384,935.6517,0,0,6.12E-06
3385,935.9282,3,0.005,0.002886757
3386,936.2047,1,0.001666667,0.001666675
3387,936.4812,0,0,6.34E-06
3388,936.7577,0,0,5.18E-06
3389,937.0342,0,0,4.63E-06
3390,937.3107,1,0.001666667,0.001666678
3391,937.5872,4,0.006666667,0.003333337
3392,937.8637,2,0.003333333,0.002357031
3393,938.1402,0,0,4.63E-06
3394,938.4167,2,0.003333333,0.002357029
3395,938.6932,2,0.003333333,0.002357025
3396,938.9697,1,0.001666667,0.001666676
3397,939.2462,1,0.001666667,0.001666677
3398,939.5227,1,0.001666667,0.001666674
3399,939.7992,0,0,5.67E-06
3400,940.0757,0,0,5.18E-06
3401,940.3522,1,0.001666667,0.001666679
3402,940.6287,1,0.001666667,0.001666676
3403,940.9052,1,0.001666667,0.001666677
3404,941.1817,1,0.001666667,0.001666677
3405,941.4582,0,0,6.12E-06
3406,941.7347,0,0,6.12E-06
3407,942.0112,0,0,3.66E-06
3408,942.2877,2,0.003333333,0.002357032
3409,942.5642,0,0,5.67E-06
3410,942.8407,1,0.001666667,0.001666675
3411,943.1172,4,0.006666667,0.003333339
3412,943.3937,1,0.001666667,0.001666677
3413,943.6702,1,0.001666667,0.001666676
3414,943.9467,0,0,4.91E-06
3415,944.2232,0,0,7.13E-06
3416,944.4997,0,0,5.18E-06
3417,944.7762,0,0,4.01E-06
3418,945.0527,1,0.001666667,0.00166668
3419,945.3292,1,0.001666667,0.00166668
3420,945.6057,1,0.001666667,0.001666676
3421,945.8822,0,0,5.43E-06
3422,946.1587,1,0.001666667,0.001666676
3423,946.4352,2,0.003333333,0.002357032
3424,946.7117,0,0,4.91E-06
3425,946.9882,2,0.003333333,0.00235703
3426,947.2647,0,0,4.01E-06
3427,947.5412,1,0.001666667,0.001666676
3428,947.8177,0,0,4.63E-06
3429,948.0942,1,0.001666667,0.001666678
3430,948.3707,2,0.003333333,0.002357031
3431,948.6472,3,0.005,0.002886759
3432,948.9237,0,0,4.91E-06
3433,949.2002,1,0.001666667,0.001666684
3434,949.4767,2,0.003333333,0.002357033
3435,949.7532,1,0.001666667,0.001666679
3436,950.0297,1,0.001666667,0.001666674
3437,950.3062,1,0.001666667,0.00166667
3438,950.5827,1,0.001666667,0.001666676
3439,950.8592,1,0.001666667,0.001666673
3440,951.1357,1,0.001666667,0.001666676
3441,951.4122,1,0.001666667,0.001666674
3442,951.6887,2,0.003333333,0.002357031
3443,951.9652,2,0.003333333,0.002357028
3444,952.2417,1,0.001666667,0.001666671
3445,952.5182,0,0,6.75E-06
3446,952.7947,1,0.001666667,0.001666679
3447,953.0712,0,0,5.43E-06
3448,953.3477,2,0.003333333,0.002357025
3449,953.6242,2,0.003333333,0.002357031
3450,953.9007,1,0.001666667,0.001666676
3451,954.1772,2,0.003333333,0.002357027
3452,954.4537,1,0.001666667,0.001666677
3453,954.7302,0,0,5.43E-06
3454,955.0067,1,0.001666667,0.001666674
3455,955.2832,1,0.001666667,0.001666673
3456,955.5597,2,0.003333333,0.002357028
3457,955.8362,0,0,6.34E-06
3458,956.1127,2,0.003333333,0.002357029
3459,956.3892,1,0.001666667,0.001666676
3460,956.6657,3,0.005,0.002886758
3461,956.9422,3,0.005,0.002886755
3462,957.2187,0,0,6.75E-06
3463,957.4952,1,0.001666667,0.001666675
3464,957.7717,1,0.001666667,0.001666677
3465,958.0482,2,0.003333333,0.002357027
3466,958.3247,1,0.001666667,0.001666675
3467,958.6012,0,0,6.34E-06
3468,958.8777,0,0,5.43E-06
3469,959.1542,0,0,6.75E-06
3470,959.4307,0,0,4.01E-06
3471,959.7072,0,0,5.43E-06
3472,959.9837,1,0.001666667,0.001666673
3473,960.2602,1,0.001666667,0.001666673
3474,960.5367,1,0.001666667,0.001666674
3475,960.8132,2,0.003333333,0.002357029
3476,961.0897,1,0.001666667,0.001666678
3477,961.3662,0,0,4.63E-06
3478,961.6427,0,0,5.43E-06
3479,961.9192,0,0,4.01E-06
3480,962.1957,0,0,4.63E-06
3481,962.4722,1,0.001666667,0.00166668
3482,962.7487,1,0.001666667,0.001666678
3483,963.0252,2,0.003333333,0.002357031
3484,963.3017,0,0,6.34E-06
3485,963.5782,1,0.001666667,0.001666678
3486,963.8547,3,0.005,0.00288676
3487,964.1312,2,0.003333333,0.002357031
3488,964.4077,1,0.001666667,0.001666679
3489,964.6842,1,0.001666667,0.001666678
3490,964.9607,0,0,5.18E-06
3491,965.2372,1,0.001666667,0.001666677
3492,965.5137,0,0,4.63E-06
3493,965.7902,0,0,4.63E-06
3494,966.0667,2,0.003333333,0.002357029
3495,966.3432,1,0.001666667,0.001666678
3496,966.6197,2,0.003333333,0.00235703
3497,966.8962,1,0.001666667,0.00166668
3498,967.1727,1,0.001666667,0.001666685
3499,967.4492,0,0,9.11E-06
3500,967.7257,0,0,7.85E-06
3501,968.0022,1,0.001666667,0.001666685
3502,968.2787,2,0.003333333,0.00235704
3503,968.5552,0,0,7.32E-06
3504,968.8317,1,0.001666667,0.00166668
3505,969.1082,1,0.001666667,0.001666685
3506,969.3847,1,0.001666667,0.001666678
3507,969.6612,0,0,5.43E-06
3508,969.9377,1,0.001666667,0.001666677
3509,970.2142,1,0.001666667,0.001666676
3510,970.4907,0,0,4.33E-06
3511,970.7672,0,0,5.67E-06
3512,971.0437,2,0.003333333,0.002357025
3513,971.3202,0,0,4.91E-06
3514,971.5967,1,0.001666667,0.001666671
3515,971.8732,1,0.001666667,0.001666676
3516,972.1497,1,0.001666667,0.00166667
3517,972.4262,0,0,5.43E-06
3518,972.7027,0,0,4.91E-06
3519,972.9792,0,0,5.43E-06
3520,973.2557,1,0.001666667,0.001666676
3521,973.5322,2,0.003333333,0.002357029
3522,973.8087,0,0,4.63E-06
3523,974.0852,1,0.001666667,0.001666676
3524,974.3617,0,0,5.43E-06
3525,974.6382,0,0,4.63E-06
3526,974.9147,0,0,4.01E-06
3527,975.1912,0,0,4.91E-06
3528,975.4677,0,0,4.91E-06
3529,975.7442,0,0,5.43E-06
3530,976.0207,0,0,4.63E-06
3531,976.2972,2,0.003333333,0.002357029
3532,976.5737,1,0.001666667,0.001666676
3533,976.8502,2,0.003333333,0.002357027
3534,977.1267,1,0.001666667,0.001666675
3535,977.4032,2,0.003333333,0.002357032
3536,977.6797,0,0,6.34E-06
3537,977.9562,0,0,4.33E-06
3538,978.2327,1,0.001666667,0.001666682
3539,978.5092,4,0.006666667,0.003333337
3540,978.7857,2,0.003333333,0.002357027
3541,979.0622,1,0.001666667,0.001666672
3542,979.3387,1,0.001666667,0.001666677
3543,979.6152,0,0,4.33E-06
3544,979.8917,1,0.001666667,0.001666673
3545,980.1682,1,0.001666667,0.00166668
3546,980.4447,3,0.005,0.002886759
3547,980.7212,1,0.001666667,0.001666673
3548,980.9977,0,0,5.18E-06
3549,981.2742,0,0,3.66E-06
3550,981.5507,0,0,5.18E-06
3551,981.8272,0,0,5.18E-06
3552,982.1037,0,0,4.91E-06
3553,982.3802,1,0.001666667,0.001666672
3554,982.6567,1,0.001666667,0.001666674
3555,982.9332,3,0.005,0.002886756
3556,983.2097,1,0.001666667,0.001666674
3557,983.4862,1,0.001666667,0.001666673
3558,983.7627,1,0.001666667,0.00166668
3559,984.0392,2,0.003333333,0.002357028
3560,984.3157,3,0.005,0.002886757
3561,984.5922,3,0.005,0.002886755
3562,984.8687,0,0,4.33E-06
3563,985.1452,0,0,5.18E-06
3564,985.4217,1,0.001666667,0.001666674
3565,985.6982,0,0,6.12E-06
3566,985.9747,2,0.003333333,0.002357032
3567,986.2512,0,0,5.43E-06
3568,986.5277,1,0.001666667,0.001666676
3569,986.8042,0,0,4.63E-06
3570,987.0807,1,0.001666667,0.001666674
3571,987.3572,1,0.001666667,0.001666673
3572,987.6337,2,0.003333333,0.002357028
3573,987.9102,0,0,4.33E-06
3574,988.1867,0,0,6.12E-06
3575,988.4632,1,0.001666667,0.001666673
3576,988.7397,1,0.001666667,0.001666679
3577,989.0162,1,0.001666667,0.001666676
3578,989.2927,3,0.005,0.002886756
3579,989.5692,1,0.001666667,0.001666674
3580,989.8457,2,0.003333333,0.002357028
3581,990.1222,0,0,5.90E-06
3582,990.3987,1,0.001666667,0.001666675
3583,990.6752,0,0,4.01E-06
3584,990.9517,0,0,5.90E-06
3585,991.2282,2,0.003333333,0.002357028
3586,991.5047,0,0,5.18E-06
3587,991.7812,1,0.001666667,0.001666676
3588,992.0577,0,0,4.63E-06
3589,992.3342,1,0.001666667,0.001666675
3590,992.6107,1,0.001666667,0.001666674
3591,992.8872,1,0.001666667,0.001666676
3592,993.1637,2,0.003333333,0.002357029
3593,993.4402,2,0.003333333,0.002357028
3594,993.7167,0,0,4.33E-06
3595,993.9932,1,0.001666667,0.001666668
3596,994.2697,1,0.001666667,0.001666671
3597,994.5462,0,0,5.90E-06
3598,994.8227,0,0,4.63E-06
3599,995.0992,0,0,5.67E-06
3600,995.3757,4,0.006666667,0.003333336
3601,995.6522,0,0,6.12E-06
3602,995.9287,2,0.003333333,0.002357028
3603,996.2052,0,0,5.67E-06
3604,996.4817,0,0,5.43E-06
3605,996.7582,1,0.001666667,0.001666676
3606,997.0347,2,0.003333333,0.002357029
3607,997.3112,1,0.001666667,0.001666677
3608,997.5877,1,0.001666667,0.001666672
3609,997.8642,0,0,6.34E-06
3610,998.1407,0,0,5.90E-06
3611,998.4172,1,0.001666667,0.001666673
