Channel,Energy (keV),CTS,Net CR,Error
2085,576.4782,1,-0.002638889,0.001666692
2086,576.7547,1,-0.001388889,0.001666684
2087,577.0312,0,-0.002083333,6.34E-06
2088,577.3077,0,-0.001944444,6.12E-06
2089,577.5842,2,0.000416667,0.002357035
2090,577.8607,2,0.000416667,0.002357035
2091,578.1372,0,-0.001666667,5.67E-06
2092,578.4137,0,-0.003888889,8.66E-06
2093,578.6902,1,-0.001111111,0.001666683
2094,578.9667,5,0.005694444,0.003726787
2095,579.2432,2,0.000277778,0.002357035
2096,579.5197,2,0.000833333,0.002357033
2097,579.7962,1,-0.000138889,0.001666677
2098,580.0727,2,-0.000277778,0.002357037
2099,580.3492,1,-0.001111111,0.001666683
2100,580.6257,3,0.001805556,0.002886762
2101,580.9022,5,0.002638889,0.003726795
2102,581.1787,2,-0.00125,0.002357041
2103,581.4552,2,-0.0025,0.002357046
2104,581.7317,3,-0.000277778,0.002886769
2105,582.0082,5,0.001388889,0.003726798
2106,582.2847,6,0.002777778,0.0040825
2107,582.5612,3,-0.000138889,0.002886769
2108,582.8377,0,-0.004861111,9.68E-06
2109,583.1142,4,-0.001666667,0.003333357
2110,583.3907,3,0.000833333,0.002886765
2111,583.6672,1,-0.001944444,0.001666688
2112,583.9437,2,-0.000555556,0.002357039
2113,584.2202,0,-0.004027778,8.81E-06
2114,584.4967,1,-0.002083333,0.001666688
2115,584.7732,1,-0.00125,0.001666684
2116,585.0497,1,-0.003194444,0.001666695
2117,585.3262,2,0.000138889,0.002357036
2118,585.6027,3,0.002361111,0.00288676
2119,585.8792,1,-0.001666667,0.001666686
2120,586.1557,3,0.002638889,0.002886759
2121,586.4322,1,0.000138889,0.001666676
2122,586.7087,2,-0.000416667,0.002357038
2123,586.9852,1,-0.000833333,0.001666681
2124,587.2617,2,-0.000277778,0.002357037
2125,587.5382,2,0.000277778,0.002357035
2126,587.8147,1,-0.001111111,0.001666683
2127,588.0912,4,0.003611111,0.003333342
2128,588.3677,2,0.001388889,0.002357031
2129,588.6442,3,0.002083333,0.002886761
2130,588.9207,4,0.003611111,0.003333342
2131,589.1972,1,-0.001666667,0.001666686
2132,589.4737,1,-0.00125,0.001666684
2133,589.7502,3,0.001805556,0.002886762
2134,590.0267,1,-0.00125,0.001666684
2135,590.3032,2,0.000555556,0.002357034
2136,590.5797,1,-0.002361111,0.00166669
2137,590.8562,1,-0.001527778,0.001666685
2138,591.1327,2,0.001527778,0.00235703
2139,591.4092,0,-0.002916667,7.50E-06
2140,591.6857,1,-0.002083333,0.001666688
2141,591.9622,0,-0.002638889,7.13E-06
2142,592.2387,6,0.006527778,0.004082491
2143,592.5152,1,-0.001111111,0.001666683
2144,592.7917,2,0.000555556,0.002357034
2145,593.0682,2,0.000555556,0.002357034
2146,593.3447,3,0.002777778,0.002886759
2147,593.6212,3,0.002222222,0.002886761
2148,593.8977,3,0.001805556,0.002886762
2149,594.1742,1,-0.000833333,0.001666681
2150,594.4507,0,-0.003472222,8.18E-06
2151,594.7272,2,0,0.002357036
2152,595.0037,1,-0.001805556,0.001666687
2153,595.2802,3,0.003472222,0.002886756
2154,595.5567,3,0.003333333,0.002886757
2155,595.8332,1,-0.000555556,0.00166668
2156,596.1097,0,-0.003333333,8.02E-06
2157,596.3862,3,0.0025,0.00288676
2158,596.6627,1,-0.001111111,0.001666683
2159,596.9392,0,-0.004444444,9.26E-06
2160,597.2157,3,0.0025,0.00288676
2161,597.4922,4,0.004305556,0.00333334
2162,597.7687,2,-0.000138889,0.002357037
2163,598.0452,1,-0.001666667,0.001666686
2164,598.3217,2,0.000277778,0.002357035
2165,598.5982,3,0.001944444,0.002886762
2166,598.8747,1,-0.000694444,0.00166668
2167,599.1512,3,0.001388889,0.002886763
2168,599.4277,0,-0.002916667,7.50E-06
2169,599.7042,2,0.000416667,0.002357035
2170,599.9807,3,0.002916667,0.002886758
2171,600.2572,1,-0.001111111,0.001666683
2172,600.5337,1,-0.001111111,0.001666683
2173,600.8102,2,0.000833333,0.002357033
2174,601.0867,2,0.001111111,0.002357032
2175,601.3632,0,-0.003194444,7.85E-06
2176,601.6397,1,-0.000833333,0.001666681
2177,601.9162,3,0.002777778,0.002886759
2178,602.1927,0,-0.0025,6.94E-06
2179,602.4692,1,-0.001388889,0.001666684
2180,602.7457,2,0.000694444,0.002357033
2181,603.0222,0,-0.001805556,5.90E-06
2182,603.2987,3,0.002222222,0.002886761
2183,603.5752,3,0.001666667,0.002886762
2184,603.8517,2,0.001666667,0.002357029
2185,604.1282,2,0.001805556,0.002357029
2186,604.4047,4,0.003611111,0.003333342
2187,604.6812,1,-0.00125,0.001666684
2188,604.9577,1,-0.001388889,0.001666684
2189,605.2342,3,0.002638889,0.002886759
2190,605.5107,2,0.000277778,0.002357035
2191,605.7872,0,-0.00375,8.51E-06
2192,606.0637,3,0.001388889,0.002886763
2193,606.3402,1,-0.002083333,0.001666688
2194,606.6167,2,-0.000277778,0.002357037
2195,606.8932,3,0.000138889,0.002886768
2196,607.1697,3,-0.002083333,0.002886775
2197,607.4462,8,0.004444444,0.004714063
2198,607.7227,2,-0.007083333,0.002357065
2199,607.9992,3,-0.005416667,0.002886786
2200,608.2757,6,-0.001805556,0.004082511
2201,608.5522,10,0.006527778,0.005270481
2202,608.8287,4,-0.003611111,0.003333363
2203,609.1052,5,-0.001805556,0.003726806
2204,609.3817,4,0.000416667,0.003333351
2205,609.6582,0,-0.007777778,1.22E-05
2206,609.9347,4,0.002916667,0.003333344
2207,610.2112,5,0.004444444,0.00372679
2208,610.4877,3,0.001111111,0.002886764
2209,610.7642,2,0.001388889,0.002357031
2210,611.0407,2,0.001527778,0.00235703
2211,611.3172,2,0.000694444,0.002357033
2212,611.5937,1,-0.001388889,0.001666684
2213,611.8702,3,0.002222222,0.002886761
2214,612.1467,3,0.002222222,0.002886761
2215,612.4232,2,0.00125,0.002357031
2216,612.6997,1,-0.000138889,0.001666677
2217,612.9762,0,-0.001527778,5.43E-06
2218,613.2527,1,-0.000972222,0.001666682
2219,613.5292,2,0.00125,0.002357031
2220,613.8057,4,0.005138889,0.003333338
2221,614.0822,3,0.0025,0.00288676
2222,614.3587,2,0.001388889,0.002357031
2223,614.6352,2,0.000555556,0.002357034
2224,614.9117,2,0.001388889,0.002357031
2225,615.1882,0,-0.003055556,7.68E-06
2226,615.4647,0,-0.002222222,6.55E-06
2227,615.7412,2,-0.000833333,0.00235704
2228,616.0177,2,0.000555556,0.002357034
2229,616.2942,2,0.000416667,0.002357035
2230,616.5707,1,0.000138889,0.001666676
2231,616.8472,3,0.001944444,0.002886762
2232,617.1237,1,-0.001805556,0.001666687
2233,617.4002,1,-0.000694444,0.00166668
2234,617.6767,6,0.007638889,0.004082488
2235,617.9532,2,0.000833333,0.002357033
2236,618.2297,2,-0.000555556,0.002357039
2237,618.5062,1,-0.000694444,0.00166668
2238,618.7827,3,0.002916667,0.002886758
2239,619.0592,1,-0.0025,0.001666691
2240,619.3357,2,0.000694444,0.002357033
2241,619.6122,1,-0.000138889,0.001666677
2242,619.8887,1,-0.000833333,0.001666681
2243,620.1652,1,-0.001527778,0.001666685
2244,620.4417,0,-0.002222222,6.55E-06
2245,620.7182,0,-0.004166667,8.97E-06
2246,620.9947,0,-0.001944444,6.12E-06
2247,621.2712,3,0.003611111,0.002886756
2248,621.5477,1,-0.000555556,0.00166668
2249,621.8242,2,0.000833333,0.002357033
2250,622.1007,3,0.001805556,0.002886762
2251,622.3772,1,-0.002222222,0.001666689
2252,622.6537,1,-0.001527778,0.001666685
2253,622.9302,4,0.004166667,0.003333341
2254,623.2067,2,0.000277778,0.002357035
2255,623.4832,1,-0.001805556,0.001666687
2256,623.7597,4,0.004722222,0.003333339
2257,624.0362,1,-0.000972222,0.001666682
2258,624.3127,3,0.002638889,0.002886759
2259,624.5892,0,-0.001527778,5.43E-06
2260,624.8657,0,-0.003194444,7.85E-06
2261,625.1422,1,-0.000416667,0.001666679
2262,625.4187,4,0.004583333,0.003333339
2263,625.6952,3,0.003194444,0.002886757
2264,625.9717,1,-0.000694444,0.00166668
2265,626.2482,2,-0.000416667,0.002357038
2266,626.5247,3,0.002083333,0.002886761
2267,626.8012,4,0.004027778,0.003333341
2268,627.0777,0,-0.002916667,7.50E-06
2269,627.3542,4,0.004027778,0.003333341
2270,627.6307,2,0.000972222,0.002357032
2271,627.9072,1,-0.000972222,0.001666682
2272,628.1837,0,-0.001527778,5.43E-06
2273,628.4602,2,0,0.002357036
2274,628.7367,3,0.00125,0.002886764
2275,629.0132,0,-0.002222222,6.55E-06
2276,629.2897,1,-0.000694444,0.00166668
2277,629.5662,1,-0.001111111,0.001666683
2278,629.8427,0,-0.003472222,8.18E-06
2279,630.1192,0,-0.002222222,6.55E-06
2280,630.3957,2,0.000416667,0.002357035
2281,630.6722,3,0.002083333,0.002886761
2282,630.9487,1,-0.000555556,0.00166668
2283,631.2252,2,0.00125,0.002357031
2284,631.5017,4,0.004305556,0.00333334
2285,631.7782,3,0.002083333,0.002886761
2286,632.0547,6,0.008055556,0.004082487
2287,632.3312,0,-0.002777778,7.32E-06
2288,632.6077,0,-0.002638889,7.13E-06
2289,632.8842,1,-0.001388889,0.001666684
2290,633.1607,3,0.0025,0.00288676
2291,633.4372,3,0.003194444,0.002886757
2292,633.7137,2,0.000138889,0.002357036
2293,633.9902,0,-0.003333333,8.02E-06
2294,634.2667,0,-0.003055556,7.68E-06
2295,634.5432,1,-0.000972222,0.001666682
2296,634.8197,4,0.004027778,0.003333341
2297,635.0962,0,-0.002083333,6.34E-06
2298,635.3727,2,0.000694444,0.002357033
2299,635.6492,3,0.002777778,0.002886759
2300,635.9257,3,0.002916667,0.002886758
2301,636.2022,2,0,0.002357036
2302,636.4787,4,0.00375,0.003333342
2303,636.7552,1,-0.00125,0.001666684
2304,637.0317,3,0.002638889,0.002886759
2305,637.3082,2,0.000833333,0.002357033
2306,637.5847,2,0.001944444,0.002357028
2307,637.8612,2,0.001111111,0.002357032
2308,638.1377,2,0.000416667,0.002357035
2309,638.4142,1,-0.00125,0.001666684
2310,638.6907,0,-0.001805556,5.90E-06
2311,638.9672,2,0.001111111,0.002357032
2312,639.2437,2,0.001388889,0.002357031
2313,639.5202,2,0.001111111,0.002357032
2314,639.7967,0,-0.002361111,6.75E-06
2315,640.0732,1,-0.000555556,0.00166668
2316,640.3497,3,0.003055556,0.002886758
2317,640.6262,1,-0.000972222,0.001666682
2318,640.9027,6,0.0075,0.004082489
2319,641.1792,2,0.000972222,0.002357032
2320,641.4557,3,0.002916667,0.002886758
2321,641.7322,2,0.000694444,0.002357033
2322,642.0087,0,-0.002916667,7.50E-06
2323,642.2852,3,0.002916667,0.002886758
2324,642.5617,1,-0.00125,0.001666684
2325,642.8382,1,-0.000277778,0.001666678
2326,643.1147,5,0.005555556,0.003726787
2327,643.3912,2,0.000833333,0.002357033
2328,643.6677,3,0.003055556,0.002886758
2329,643.9442,1,-0.001111111,0.001666683
2330,644.2207,1,-0.000277778,0.001666678
2331,644.4972,0,-0.003055556,7.68E-06
2332,644.7737,5,0.005694444,0.003726787
2333,645.0502,0,-0.003472222,8.18E-06
2334,645.3267,0,-0.002361111,6.75E-06
2335,645.6032,1,0.000277778,0.001666675
2336,645.8797,3,0.002638889,0.002886759
2337,646.1562,1,-0.001527778,0.001666685
2338,646.4327,1,-0.000694444,0.00166668
2339,646.7092,2,0.000833333,0.002357033
2340,646.9857,1,-0.000694444,0.00166668
2341,647.2622,1,-0.00125,0.001666684
2342,647.5387,1,-0.000972222,0.001666682
2343,647.8152,4,0.004305556,0.00333334
2344,648.0917,0,-0.002083333,6.34E-06
2345,648.3682,3,0.002777778,0.002886759
2346,648.6447,3,0.003194444,0.002886757
2347,648.9212,4,0.004166667,0.003333341
2348,649.1977,1,-0.000277778,0.001666678
2349,649.4742,1,-0.000694444,0.00166668
2350,649.7507,1,-0.000694444,0.00166668
2351,650.0272,1,-0.001666667,0.001666686
2352,650.3037,2,0.000416667,0.002357035
2353,650.5802,1,-0.001527778,0.001666685
2354,650.8567,1,-0.003333333,0.001666696
2355,651.1332,1,-0.000277778,0.001666678
2356,651.4097,1,-0.000555556,0.00166668
2357,651.6862,0,-0.002638889,7.13E-06
2358,651.9627,1,-0.000833333,0.001666681
2359,652.2392,3,0.002222222,0.002886761
2360,652.5157,2,0.00125,0.002357031
2361,652.7922,2,0.000833333,0.002357033
2362,653.0687,1,-0.001111111,0.001666683
2363,653.3452,1,-0.000416667,0.001666679
2364,653.6217,2,0.000972222,0.002357032
2365,653.8982,1,-0.000833333,0.001666681
2366,654.1747,2,0.001111111,0.002357032
2367,654.4512,0,-0.003333333,8.02E-06
2368,654.7277,2,-0.000555556,0.002357039
2369,655.0042,3,0.002222222,0.002886761
2370,655.2807,4,0.005,0.003333338
2371,655.5572,1,-0.000833333,0.001666681
2372,655.8337,2,0.000694444,0.002357033
2373,656.1102,1,-0.000833333,0.001666681
2374,656.3867,0,-0.001944444,6.12E-06
2375,656.6632,4,0.004166667,0.003333341
2376,656.9397,0,-0.002361111,6.75E-06
2377,657.2162,3,0.001111111,0.002886764
2378,657.4927,2,0.000833333,0.002357033
2379,657.7692,2,0.001111111,0.002357032
2380,658.0457,0,-0.002361111,6.75E-06
2381,658.3222,4,0.00375,0.003333342
2382,658.5987,1,-0.001666667,0.001666686
2383,658.8752,1,-0.00375,0.001666698
2384,659.1517,1,-0.00375,0.001666698
2385,659.4282,3,-0.002638889,0.002886777
2386,659.7047,4,-0.001111111,0.003333356
2387,659.9812,7,0.002916667,0.004409605
2388,660.2577,10,0.003055556,0.005270488
2389,660.5342,7,-0.001805556,0.004409615
2390,660.8107,7,-0.000972222,0.004409613
2391,661.0872,9,0.002083333,0.005000025
2392,661.3637,16,0.015555556,0.006666683
2393,661.6402,9,0.005416667,0.005000018
2394,661.9167,7,0.006111111,0.004409598
2395,662.1932,7,0.005555556,0.004409599
2396,662.4697,5,0.003888889,0.003726791
2397,662.7462,1,-0.002222222,0.001666689
2398,663.0227,3,0.001805556,0.002886762
2399,663.2992,2,0.000277778,0.002357035
2400,663.5757,4,0.003888889,0.003333341
2401,663.8522,2,0.001111111,0.002357032
2402,664.1287,1,-0.000833333,0.001666681
2403,664.4052,1,-0.000833333,0.001666681
2404,664.6817,2,0.000972222,0.002357032
2405,664.9582,1,-0.000138889,0.001666677
2406,665.2347,1,-0.000277778,0.001666678
2407,665.5112,2,0.001111111,0.002357032
2408,665.7877,2,0.000416667,0.002357035
2409,666.0642,0,-0.002083333,6.34E-06
2410,666.3407,2,0.000833333,0.002357033
2411,666.6172,1,-0.001111111,0.001666683
2412,666.8937,2,0.000277778,0.002357035
2413,667.1702,3,0.002777778,0.002886759
2414,667.4467,4,0.004027778,0.003333341
2415,667.7232,1,-0.000138889,0.001666677
2416,667.9997,1,-0.000138889,0.001666677
2417,668.2762,1,-0.000138889,0.001666677
2418,668.5527,1,-0.000972222,0.001666682
2419,668.8292,4,0.003333333,0.003333343
2420,669.1057,2,0.001666667,0.002357029
2421,669.3822,1,-0.001527778,0.001666685
2422,669.6587,2,0.00125,0.002357031
2423,669.9352,1,-0.001388889,0.001666684
2424,670.2117,0,-0.001527778,5.43E-06
2425,670.4882,0,-0.0025,6.94E-06
2426,670.7647,0,-0.002638889,7.13E-06
2427,671.0412,0,-0.001666667,5.67E-06
2428,671.3177,1,-0.001388889,0.001666684
2429,671.5942,2,0.000833333,0.002357033
2430,671.8707,2,0.00125,0.002357031
2431,672.1472,2,0.001666667,0.002357029
2432,672.4237,2,0.000972222,0.002357032
2433,672.7002,3,0.003472222,0.002886756
2434,672.9767,2,0.000694444,0.002357033
2435,673.2532,0,-0.001388889,5.18E-06
2436,673.5297,2,0.001527778,0.00235703
2437,673.8062,2,0.001111111,0.002357032
2438,674.0827,0,-0.001666667,5.67E-06
2439,674.3592,5,0.005833333,0.003726786
2440,674.6357,2,0.00125,0.002357031
